Date,Price
1987-05-31,18.58
1987-06-30,18.86047619047619
1987-07-31,19.856521739130436
1987-08-31,18.97952380952381
1987-09-30,18.313181818181818
1987-10-31,18.757727272727273
1987-11-30,17.780952380952378
1987-12-31,17.05409090909091
1988-01-31,16.749444444444446
1988-02-29,15.729523809523808
1988-03-31,14.731304347826086
1988-04-30,16.59526315789474
1988-05-31,16.314090909090908
1988-06-30,15.543636363636363
1988-07-31,14.907619047619047
1988-08-31,14.89391304347826
1988-09-30,13.179545454545455
1988-10-31,12.405714285714286
1988-11-30,13.024545454545455
1988-12-31,15.306666666666667
1989-01-31,17.171904761904763
1989-02-28,16.8885
1989-03-31,18.700952380952383
1989-04-30,20.319499999999998
1989-05-31,18.633181818181818
1989-06-30,17.670909090909092
1989-07-31,17.622857142857143
1989-08-31,16.77
1989-09-30,17.766190476190474
1989-10-31,18.907727272727275
1989-11-30,18.727272727272727
1989-12-31,19.838947368421053
1990-01-31,21.251818181818184
1990-02-28,19.813499999999998
1990-03-31,18.387272727272727
1990-04-30,16.612105263157893
1990-05-31,16.352272727272727
1990-06-30,15.104761904761904
1990-07-31,17.16909090909091
1990-08-31,27.167391304347827
1990-09-30,34.899
1990-10-31,36.022608695652174
1990-11-30,33.06727272727273
1990-12-31,28.273500000000002
1991-01-31,23.566363636363636
1991-02-28,19.536
1991-03-31,19.0825
1991-04-30,19.18
1991-05-31,19.186818181818182
1991-06-30,18.1675
1991-07-31,19.39695652173913
1991-08-31,19.772727272727273
1991-09-30,20.50190476190476
1991-10-31,22.20608695652174
1991-11-30,21.108571428571427
1991-12-31,18.41095238095238
1992-01-31,18.163636363636364
1992-02-29,18.0535
1992-03-31,17.63090909090909
1992-04-30,18.91904761904762
1992-05-31,19.8885
1992-06-30,21.15818181818182
1992-07-31,20.236521739130435
1992-08-31,19.738095238095237
1992-09-30,20.27
1992-10-31,20.26181818181818
1992-11-30,19.214285714285715
1992-12-31,18.13952380952381
1993-01-31,17.386000000000003
1993-02-28,18.466315789473686
1993-03-31,18.785217391304347
1993-04-30,18.674500000000002
1993-05-31,18.507894736842104
1993-06-30,17.652727272727272
1993-07-31,16.775454545454547
1993-08-31,16.696190476190477
1993-09-30,16.01181818181818
1993-10-31,16.606666666666666
1993-11-30,15.196363636363635
1993-12-31,13.725714285714286
1994-01-31,14.2915
1994-02-28,13.802000000000001
1994-03-31,13.822608695652175
1994-04-30,15.231578947368419
1994-05-31,16.188
1994-06-30,16.763181818181817
1994-07-31,17.59952380952381
1994-08-31,16.89272727272727
1994-09-30,15.895
1994-10-31,16.49047619047619
1994-11-30,17.191363636363636
1994-12-31,15.931999999999999
1995-01-31,16.551904761904762
1995-02-28,17.1145
1995-03-31,17.006521739130434
1995-04-30,18.648333333333333
1995-05-31,18.35090909090909
1995-06-30,17.312727272727273
1995-07-31,15.854285714285714
1995-08-31,16.096363636363638
1995-09-30,16.69952380952381
1995-10-31,16.11090909090909
1995-11-30,16.86090909090909
1995-12-31,17.925263157894737
1996-01-31,17.853181818181817
1996-02-29,17.99904761904762
1996-03-31,19.851904761904763
1996-04-30,20.9005
1996-05-31,19.154761904761905
1996-06-30,18.4565
1996-07-31,19.57086956521739
1996-08-31,20.51238095238095
1996-09-30,22.63047619047619
1996-10-31,24.162608695652175
1996-11-30,22.75952380952381
1996-12-31,23.782999999999998
1997-01-31,23.53761904761905
1997-02-28,20.850526315789473
1997-03-31,19.133000000000003
1997-04-30,17.555909090909093
1997-05-31,19.022857142857145
1997-06-30,17.580000000000002
1997-07-31,18.4645
1997-08-31,18.595499999999998
1997-09-30,18.46095238095238
1997-10-31,19.86521739130435
1997-11-30,19.17421052631579
1997-12-31,17.18190476190476
1998-01-31,15.186666666666667
1998-02-28,14.0695
1998-03-31,13.103181818181817
1998-04-30,13.526500000000002
1998-05-31,14.36315789473684
1998-06-30,12.206363636363637
1998-07-31,12.079565217391304
1998-08-31,11.914
1998-09-30,13.343636363636364
1998-10-31,12.702272727272726
1998-11-30,11.039047619047619
1998-12-31,9.824285714285715
1999-01-31,11.1145
1999-02-28,10.27157894736842
1999-03-31,12.511304347826087
1999-04-30,15.2945
1999-05-31,15.225263157894739
1999-06-30,15.863181818181818
1999-07-31,19.080000000000002
1999-08-31,20.219047619047622
1999-09-30,22.543181818181818
1999-10-31,22.002380952380953
1999-11-30,24.58409090909091
1999-12-31,25.473157894736843
2000-01-31,25.511
2000-02-29,27.775714285714283
2000-03-31,27.48608695652174
2000-04-30,22.764444444444443
2000-05-31,27.73761904761905
2000-06-30,29.795454545454547
2000-07-31,28.682380952380953
2000-08-31,30.19608695652174
2000-09-30,33.1447619047619
2000-10-31,30.96090909090909
2000-11-30,32.55227272727273
2000-12-31,25.66
2001-01-31,25.624545454545455
2001-02-28,27.503500000000003
2001-03-31,24.49727272727273
2001-04-30,25.657142857142855
2001-05-31,28.313636363636363
2001-06-30,27.84904761904762
2001-07-31,24.613636363636363
2001-08-31,25.68
2001-09-30,25.6195
2001-10-31,20.53782608695652
2001-11-30,18.797272727272727
2001-12-31,18.705263157894734
2002-01-31,19.416818181818183
2002-02-28,20.2755
2002-03-31,23.696666666666665
2002-04-30,25.72863636363636
2002-05-31,25.345454545454547
2002-06-30,24.081666666666667
2002-07-31,25.73608695652174
2002-08-31,26.651363636363637
2002-09-30,28.39952380952381
2002-10-31,27.54304347826087
2002-11-30,24.335238095238097
2002-12-31,28.334500000000002
2003-01-31,31.183636363636364
2003-02-28,32.771
2003-03-31,30.612380952380953
2003-04-30,25.06772727272727
